,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
21,2024-02-01 00:00:00+00:00,186.86,186.95,183.82,183.985,64885408,185.9495311,186.0390925781,182.924343395,183.0885394382,64885408,0.0,1.0
22,2024-02-02 00:00:00+00:00,185.85,187.33,179.25,179.86,102551680,184.9444522901,186.4172410412,178.3766105623,178.9836383583,102551680,0.0,1.0
23,2024-02-05 00:00:00+00:00,187.68,189.25,185.84,188.15,69668820,186.7655356783,188.3278859075,184.9345010148,187.2332456195,69668820,0.0,1.0
24,2024-02-06 00:00:00+00:00,189.3,189.31,186.7695,186.86,43490759,188.3776422842,188.3875935595,185.8594720581,185.9495311,43490759,0.0,1.0
25,2024-02-07 00:00:00+00:00,189.41,191.05,188.61,190.64,53438955,188.487106313,190.1191154696,187.6910042854,189.7111131804,53438955,0.0,1.0
26,2024-02-08 00:00:00+00:00,188.32,189.535,187.35,189.385,40962046,187.4024173004,188.6114972548,186.4371435919,188.4622281246,40962046,0.0,1.0
27,2024-02-09 00:00:00+00:00,188.85,189.99,188.0,188.65,45155216,188.1686655019,189.3045526011,187.3217321385,187.9693870635,45155216,0.24,1.0
28,2024-02-12 00:00:00+00:00,187.15,188.67,186.79,188.415,41781934,186.4747987752,187.9893149073,186.116097586,187.7352348983,41781934,0.0,1.0
29,2024-02-13 00:00:00+00:00,185.04,186.21,183.5128,185.77,56529529,184.3724112496,185.5381901145,182.8507210936,185.0997775499,56529529,0.0,1.0
30,2024-02-14 00:00:00+00:00,184.15,185.53,182.44,185.32,54630517,183.4856221985,184.8606434237,181.7817915498,184.6514010634,54630517,0.0,1.0
31,2024-02-15 00:00:00+00:00,183.86,184.49,181.35,183.55,65434496,183.1966684627,183.8243955438,180.6957240602,182.8877868831,65434496,0.0,1.0
32,2024-02-16 00:00:00+00:00,182.31,184.85,181.665,183.42,49752465,181.6522605648,184.183096733,181.0095876008,182.7582558982,49752465,0.0,1.0
33,2024-02-20 00:00:00+00:00,181.56,182.43,180.0,181.79,53665553,180.9049664206,181.7718276278,179.3505946007,181.1341366248,53665553,0.0,1.0
34,2024-02-21 00:00:00+00:00,182.32,182.8888,180.66,181.94,41529674,181.6622244867,182.2289723656,180.0082134476,181.2835954537,41529674,0.0,1.0
35,2024-02-22 00:00:00+00:00,184.37,184.955,182.46,183.48,52292208,183.7048284808,184.2877179132,181.8017193936,182.8180394297,52292208,0.0,1.0
36,2024-02-23 00:00:00+00:00,182.52,185.04,182.23,185.01,45119677,181.8615029251,184.3724112496,181.5725491894,184.3425194838,45119677,0.0,1.0
37,2024-02-26 00:00:00+00:00,181.16,182.76,180.65,182.24,40867421,180.5064095437,182.1006370513,179.9982495257,181.5825131113,40867421,0.0,1.0
38,2024-02-27 00:00:00+00:00,182.63,183.9225,179.56,181.1,54318851,181.9711060663,183.2589429747,178.9121820362,180.4466260122,54318851,0.0,1.0
39,2024-02-28 00:00:00+00:00,181.42,183.12,180.13,182.51,48953939,180.7654715137,182.4593382405,179.4801255857,181.8515390032,48953939,0.0,1.0
40,2024-02-29 00:00:00+00:00,180.75,182.57,179.53,181.27,136682597,180.0978887449,181.9113225348,178.8822902704,180.6160126849,136682597,0.0,1.0
41,2024-03-01 00:00:00+00:00,179.66,180.53,177.38,179.55,73563082,179.0118212554,179.8786824626,176.7400470571,178.9022181142,73563082,0.0,1.0
42,2024-03-04 00:00:00+00:00,175.1,176.9,173.79,176.15,81510101,174.4682728588,176.2617788048,173.162999087,175.5144846607,81510101,0.0,1.0
43,2024-03-05 00:00:00+00:00,170.12,172.04,169.62,170.76,95132355,169.5062397415,171.4193127506,169.0080436454,170.1439307446,95132355,0.0,1.0
44,2024-03-06 00:00:00+00:00,169.12,171.24,168.68,171.06,68587707,168.5098475493,170.6221989968,168.0714349847,170.4428484022,68587707,0.0,1.0
